T(K),a,da/dT
486.15,0.12197164,0.00119736
486.9,0.12281889,0.00118870
487.65,0.12370361,0.00118152
488.65,0.12490462,0.00117560
489.4,0.12583508,0.00117202
489.9,0.12643720,0.00116794
490.9,0.12767474,0.00116562
491.9,0.12891206,0.00116551
492.65,0.12982299,0.00116624
493.15,0.13043164,0.00116847
494.4,0.13191213,0.00117241
495.15,0.13277931,0.00118003
495.9,0.13362928,0.00118425
496.4,0.13419167,0.00119532
497.4,0.13531122,0.00120461
498.4,0.13641732,0.00121266
498.9,0.13697357,0.00122697
499.4,0.13753070,0.00123973
500.65,0.13894067,0.00125323
501.15,0.13951065,0.00126643
501.9,0.14037500,0.00128128
502.9,0.14156480,0.00129545
503.4,0.14216486,0.00130991
504.15,0.14308142,0.00132658
504.9,0.14402195,0.00134194
505.65,0.14503374,0.00135678
506.4,0.14601334,0.00137445
506.9,0.14673996,0.00139062
507.65,0.14779667,0.00140644
508.65,0.14924685,0.00142185
509.15,0.15001921,0.00143729
509.9,0.15118147,0.00145245
510.9,0.15277416,0.00146767
511.4,0.15358587,0.00148277
512.15,0.15481191,0.00149797
512.65,0.15563612,0.00151332
513.65,0.15729299,0.00152855
514.15,0.15814186,0.00154584
514.9,0.15938894,0.00156214
515.9,0.16100370,0.00158037
516.65,0.16225527,0.00159750
517.4,0.16345685,0.00162203
517.9,0.16424874,0.00163876
518.9,0.16581515,0.00166364
519.65,0.16698055,0.00168846
520.15,0.16775664,0.00171678
520.9,0.16892330,0.00174361
522.15,0.17088068,0.00177559
522.65,0.17167096,0.00181096
523.4,0.17286920,0.00184942
524.4,0.17450083,0.00189185
525.4,0.17620220,0.00194173
525.9,0.17704968,0.00199184
526.65,0.17838656,0.00205441
527.9,0.18069381,0.00212730
528.4,0.18170265,0.00220157
528.9,0.18267184,0.00228108
529.9,0.18480218,0.00237663
530.9,0.18697223,0.00248091
531.65,0.18874685,0.00258823
532.15,0.18991063,0.00271179
533.4,0.19306101,0.00284152
533.9,0.19438558,0.00297961
534.65,0.19644800,0.00312443
535.4,0.19860726,0.00328083
536.65,0.20248656,0.00343919
537.15,0.20406198,0.00360545
538.15,0.20753940,0.00378093
538.9,0.21033571,0.00395835
539.65,0.21320274,0.00414077
540.4,0.21613350,0.00432356
541.15,0.21939954,0.00451464
542.15,0.22399027,0.00470861
542.9,0.22748971,0.00490781
543.65,0.23134136,0.00510500
544.65,0.23665906,0.00531357
545.15,0.23944429,0.00552026
545.9,0.24377967,0.00572627
546.65,0.24837952,0.00593323
547.65,0.25460352,0.00614253
548.15,0.25786510,0.00634441
549.15,0.26464888,0.00654485
549.9,0.26984466,0.00673550
550.9,0.27698059,0.00691572
551.4,0.28063987,0.00709200
552.15,0.28624979,0.00726246
553.15,0.29400501,0.00741306
553.9,0.29996515,0.00755461
554.65,0.30602874,0.00768839
555.15,0.31021672,0.00779981
556.4,0.32085965,0.00790277
557.15,0.32732725,0.00799612
557.9,0.33389114,0.00807465
558.9,0.34283983,0.00813195
559.65,0.34955819,0.00818285
560.4,0.35628104,0.00821742
561.15,0.36303557,0.00823778
562.15,0.37199051,0.00824284
562.9,0.37869156,0.00823929
563.65,0.38532979,0.00821785
564.65,0.39405193,0.00818374
565.4,0.40057373,0.00812932
566.15,0.40698281,0.00807404
566.9,0.41325787,0.00799527
567.9,0.42156160,0.00789978
568.65,0.42776977,0.00779432
569.4,0.43381318,0.00767936
570.4,0.44160808,0.00755251
571.15,0.44738298,0.00741248
571.9,0.45302736,0.00726566
572.4,0.45671443,0.00711826
573.65,0.46555746,0.00696003
574.4,0.47083222,0.00679747
575.15,0.47585496,0.00663139
575.9,0.48072280,0.00646118
576.9,0.48689983,0.00629052
577.4,0.49007181,0.00611753
578.15,0.49442200,0.00594450
579.4,0.50143058,0.00577349
579.9,0.50415865,0.00559935
580.9,0.50944826,0.00542288
581.9,0.51452125,0.00524706
582.65,0.51818715,0.00507820
583.4,0.52171212,0.00490989
583.9,0.52405684,0.00474424
585.15,0.52957834,0.00458020
585.9,0.53275900,0.00442210
586.65,0.53584774,0.00426325
587.9,0.54074114,0.00411189
588.4,0.54262772,0.00396319
589.4,0.54630685,0.00382055
589.9,0.54807051,0.00367247
590.9,0.55147809,0.00353728
591.9,0.55473183,0.00340061
592.65,0.55710166,0.00327186
593.65,0.56006088,0.00314488
594.4,0.56223427,0.00301582
595.15,0.56434853,0.00289889
595.65,0.56570956,0.00278572
596.9,0.56898053,0.00267242
597.65,0.57084766,0.00256532
598.15,0.57206085,0.00246465
599.4,0.57494553,0.00236716
600.15,0.57657912,0.00227717
600.9,0.57810947,0.00218896
601.4,0.57913427,0.00210505
602.65,0.58148403,0.00202184
603.4,0.58271644,0.00194814
