T(K),a,da/dT
437.65,0.064889949,0.000380066
438.15,0.065084259,0.000380645
438.65,0.0652756,0.000380766
439.15,0.065459157,0.000379668
439.4,0.065552524,0.000377067
439.9,0.065737239,0.000372122
440.15,0.065828839,0.000367612
440.65,0.066006095,0.000363466
440.9,0.06609492,0.000359415
441.15,0.066183922,0.000356818
441.65,0.066364898,0.000357678
442.15,0.06654464,0.000358125
442.4,0.066635058,0.000359324
442.9,0.066819374,0.000361631
443.15,0.066908936,0.000364199
443.65,0.067096178,0.000366777
444.15,0.067283502,0.000371561
444.4,0.067375976,0.000376123
444.9,0.067565308,0.000380895
445.4,0.06775768,0.000386689
445.9,0.067953963,0.000394557
446.4,0.068152915,0.000398059
447.15,0.068455344,0.000401878
447.65,0.06866136,0.000409844
448.15,0.068867471,0.000414027
449.15,0.069293574,0.000424797
449.9,0.069618756,0.000433663
450.4,0.069837332,0.000437802
451.65,0.07039612,0.000451002
452.15,0.070639742,0.000461196
452.9,0.070980406,0.000466549
453.65,0.071336172,0.000478638
454.9,0.071936952,0.000486605
455.65,0.072307898,0.000502596
456.4,0.072684634,0.000513961
457.15,0.073091482,0.000530597
458.4,0.073763932,0.000543515
459.4,0.074341679,0.000557729
460.15,0.074785514,0.000572665
460.9,0.075237462,0.000587246
462.15,0.075919181,0.000600243
462.65,0.076229339,0.000623504
463.65,0.076907225,0.000646316
464.4,0.077391769,0.000668748
465.4,0.078150009,0.000696439
466.15,0.078661011,0.000723895
466.9,0.079185476,0.000750877
467.9,0.080053176,0.000780447
468.65,0.080613475,0.000806775
469.15,0.080996716,0.000832468
469.9,0.081677063,0.000860381
470.9,0.082530797,0.000883829
471.4,0.083030595,0.000905109
472.15,0.083707147,0.000927572
472.4,0.083962056,0.000944952
473.4,0.084879925,0.000959434
473.9,0.085366742,0.00097157
474.65,0.086090775,0.000981928
475.4,0.086798376,0.000991349
475.9,0.087280579,0.001002826
476.4,0.087828289,0.001014085
476.9,0.088324683,0.001024066
477.9,0.089342665,0.001035193
478.4,0.089888264,0.001049735
478.9,0.090417068,0.00106289
479.4,0.090954258,0.001081504
480.15,0.091796852,0.001100958
480.9,0.09261525,0.001116209
481.65,0.093472905,0.001142126
482.15,0.094054415,0.001164555
482.9,0.094923878,0.001179974
483.4,0.095524923,0.001201388
484.15,0.096473488,0.001214408
484.9,0.097387776,0.001236162
485.65,0.098334816,0.001253604
486.4,0.099280992,0.001276575
486.9,0.099930376,0.001292871
487.65,0.100899075,0.001314874
488.4,0.101895602,0.00132793
489.15,0.102885784,0.001344305
489.65,0.103580319,0.001353005
490.9,0.105292135,0.001366184
491.4,0.105983723,0.001379012
492.15,0.107027924,0.001388102
493.15,0.108411119,0.001397981
493.9,0.109493971,0.001407294
494.65,0.110541193,0.001420727
495.4,0.111617494,0.001431903
496.4,0.113064547,0.001438536
496.9,0.113770634,0.0014537
497.65,0.114870149,0.001462651
498.4,0.115954365,0.001471329
499.15,0.11709458,0.001487472
500.15,0.118623901,0.001502713
500.9,0.119763327,0.001522207
501.9,0.121298188,0.001543341
502.65,0.122493287,0.001561442
503.15,0.123244363,0.001579031
503.9,0.124495383,0.001597482
504.9,0.126063496,0.001617314
505.65,0.12728231,0.001637419
506.15,0.128139812,0.001657683
506.9,0.129386557,0.001680008
507.9,0.131076982,0.001708166
508.65,0.132404017,0.00173867
509.15,0.133312683,0.001762341
510.15,0.13504843,0.00179693
510.65,0.13594953,0.001829528
511.65,0.137854972,0.001857334
512.15,0.13875064,0.001908805
513.15,0.140681482,0.00193438
513.9,0.142198769,0.001965479
514.4,0.143176934,0.001985236
514.9,0.144230233,0.002040469
516.15,0.146801972,0.002042417
516.65,0.147822502,0.002067994
517.4,0.149371879,0.00212615
518.4,0.151498924,0.00210805
518.9,0.152565028,0.002151653
519.65,0.154185509,0.002100728
520.15,0.155256171,0.002111197
521.4,0.15807768,0.00215196
522.15,0.159835787,0.002207933
522.65,0.161017879,0.002350672
523.65,0.163421193,0.002506471
524.4,0.165425427,0.00268912
525.15,0.167502591,0.002893328
525.9,0.169739094,0.003140018
526.65,0.172350714,0.003407653
527.4,0.174837496,0.003715304
528.4,0.178790639,0.004024546
528.9,0.180944788,0.004327844
529.9,0.185951945,0.004625179
530.65,0.189377861,0.004862155
531.4,0.193728456,0.00509637
532.4,0.199624699,0.00528292
532.9,0.202062887,0.005403748
533.9,0.208114341,0.005529558
534.4,0.210268162,0.005603037
535.4,0.216325196,0.005684115
536.15,0.220584175,0.00572709
536.9,0.224817371,0.005745382
537.9,0.231231874,0.005766555
538.4,0.233994102,0.005793245
539.15,0.238121834,0.005806262
540.15,0.243601328,0.005813503
541.15,0.249493473,0.005836633
541.65,0.252413927,0.005852016
542.4,0.257058824,0.005863937
543.15,0.261646659,0.005889385
544.15,0.267696001,0.00588263
544.9,0.272195194,0.005866109
545.65,0.276384026,0.005832791
546.65,0.282350885,0.005804822
547.4,0.286436592,0.005736013
548.15,0.290433567,0.005721148
548.9,0.294942686,0.005732522
549.9,0.300419496,0.005700616
550.4,0.30345049,0.005759826
551.15,0.307606846,0.005709953
552.4,0.314798083,0.005739845
552.9,0.31779502,0.005769753
553.65,0.322270512,0.005817519
554.4,0.326625186,0.005934219
555.4,0.332606989,0.006032421
556.4,0.338724267,0.00612634
557.15,0.343253126,0.006178803
557.65,0.34633536,0.006244033
558.65,0.352549598,0.006252924
559.4,0.357272618,0.006271612
560.15,0.361971049,0.006258858
561.15,0.368269356,0.006233771
562.15,0.37448195,0.006183731
562.65,0.377697898,0.006108682
563.4,0.382329822,0.006045933
564.65,0.389595659,0.005950095
565.4,0.393938242,0.005820181
566.15,0.398184006,0.005722881
567.15,0.403523443,0.005580657
567.9,0.407571598,0.005484263
568.65,0.411562298,0.005357246
569.65,0.416992068,0.005264146
570.65,0.422166374,0.005156346
571.4,0.426008048,0.005122444
572.15,0.429821243,0.00506202
573.4,0.435965083,0.005007596
574.15,0.439867563,0.005029222
574.9,0.443445846,0.00497734
575.65,0.447292614,0.004902932
576.9,0.453266046,0.004885903
577.65,0.45690187,0.004837568
578.4,0.460372068,0.004748083
579.65,0.466470368,0.004711276
580.4,0.470013337,0.004662382
581.15,0.473533725,0.00463467
582.15,0.478194529,0.004617595
583.15,0.482821024,0.00461364
583.9,0.486109853,0.004594898
584.65,0.489540344,0.004583711
585.65,0.493922574,0.00460715
586.65,0.498635395,0.00468648
587.4,0.501846396,0.004656881
588.15,0.505831411,0.004708175
589.15,0.510394276,0.004742421
590.15,0.51543132,0.004770104
590.65,0.518223857,0.0048244
591.9,0.52334923,0.004869827
592.65,0.526891538,0.004934965
593.4,0.531033427,0.004975969
594.15,0.534380787,0.005026583
595.15,0.538960032,0.005048333
595.65,0.541741147,0.005053981
596.65,0.546696392,0.005019332
597.65,0.551650915,0.004966029
598.4,0.555334452,0.004876829
598.9,0.557758653,0.004754117
599.65,0.560947872,0.004600099
600.9,0.566609819,0.004418944
601.4,0.569090169,0.004196355
602.15,0.572420765,0.003956842
