T(K),a,da/dT
490.15,0.107620683,0.00016728
490.9,0.107647263,0.00018573
491.65,0.107696776,0.00020307
492.65,0.107770694,0.00022192
493.15,0.10782773,0.00024539
493.9,0.10793158,0.00026368
494.65,0.108028644,0.00028460
495.65,0.108235602,0.00030795
496.4,0.108425776,0.00033327
497.15,0.108646897,0.00035819
498.15,0.108989913,0.00038742
498.9,0.109281938,0.00042221
499.9,0.109652587,0.00046406
500.4,0.110009257,0.00050670
501.65,0.110698797,0.00056158
502.15,0.111084858,0.00061353
503.15,0.111754045,0.00068488
504.15,0.112445123,0.00075701
504.9,0.113048187,0.00084533
505.65,0.113524511,0.00093810
506.4,0.114064728,0.00103823
507.4,0.114805887,0.00114496
507.9,0.115179474,0.00125790
508.65,0.115777583,0.00139056
509.4,0.116430226,0.00151703
510.4,0.117462832,0.00164702
510.9,0.118077436,0.00179097
511.9,0.119331498,0.00193234
512.4,0.120140749,0.00202539
513.4,0.121670283,0.00218940
514.15,0.123248605,0.00230825
514.65,0.124327596,0.00246628
515.65,0.126962587,0.00257196
516.4,0.129066004,0.00271998
516.9,0.130587122,0.00289869
517.4,0.132199313,0.00305438
518.4,0.13568176,0.00319507
519.15,0.138757293,0.00337722
519.9,0.141729002,0.00353856
520.4,0.143785429,0.00372090
521.4,0.148349273,0.00385696
522.15,0.151702154,0.00400950
522.65,0.153407937,0.00417669
523.65,0.158716,0.00430445
524.15,0.160825415,0.00445026
525.15,0.166077402,0.00457666
525.4,0.167016324,0.00470123
526.65,0.173387349,0.00480879
527.15,0.176296107,0.00493244
527.65,0.178913865,0.00502463
528.9,0.184940234,0.00510965
529.4,0.187954921,0.00518529
530.4,0.193431511,0.00529204
530.9,0.196510427,0.00540553
531.9,0.201488818,0.00548308
532.65,0.205728424,0.00553276
533.4,0.21030547,0.00559196
534.15,0.214298109,0.00567003
535.15,0.220056149,0.00575978
535.65,0.222941119,0.00589036
536.4,0.227268976,0.00598784
537.65,0.234462012,0.00613926
538.15,0.237657107,0.00622548
538.9,0.24194394,0.00629765
539.65,0.246211472,0.00638407
540.65,0.251887375,0.00650586
541.4,0.257284864,0.00659314
542.15,0.262724947,0.00670033
542.9,0.267496344,0.00678824
543.9,0.2735007,0.00691928
544.65,0.278141231,0.00702683
545.15,0.28097903,0.00711375
546.4,0.290867668,0.00722616
546.9,0.294870433,0.00730748
547.9,0.302949421,0.00739000
548.4,0.30702283,0.00746594
549.4,0.314620139,0.00752860
550.15,0.320552995,0.00757812
550.9,0.326359119,0.00760993
551.9,0.33471216,0.00769580
552.65,0.341132626,0.00775695
553.15,0.345425078,0.00778559
554.15,0.354132394,0.00777845
554.9,0.360716374,0.00780732
555.65,0.367295092,0.00787017
556.65,0.375918583,0.00788292
557.65,0.384501983,0.00795421
558.15,0.388560171,0.00790956
558.9,0.394682311,0.00785198
559.65,0.400661833,0.00781694
560.65,0.40823354,0.00776156
561.4,0.4141032,0.00773212
561.9,0.417422435,0.00769125
562.65,0.423557519,0.00766521
563.65,0.431006736,0.00760140
564.4,0.437027182,0.00752548
565.15,0.442311925,0.00747258
566.15,0.449511036,0.00739994
566.9,0.455381245,0.00732399
567.65,0.460299124,0.00723226
568.4,0.466106334,0.00719100
569.65,0.474376578,0.00711324
570.15,0.477544478,0.00707389
570.9,0.482841537,0.00700474
571.9,0.489382362,0.00696515
572.65,0.494440086,0.00692002
573.4,0.499484015,0.00685997
574.15,0.504723599,0.00686856
575.4,0.512851884,0.00679928
576.15,0.517621029,0.00676615
576.65,0.521146529,0.00671243
577.9,0.529397243,0.00668995
