T,a,da/dT,,,,
693.75,0.934043222,-7.41E-05,,,,
694.25,0.934006325,-7.38E-05,,,,
695.5,0.933900187,-8.49E-05,,,,
696.25,0.933834862,-8.71E-05,,,,
696.75,0.933791238,-8.72E-05,,,,
697.75,0.933700387,-9.09E-05,,,,
698.5,0.933633088,-8.97E-05,,,,
699.25,0.933565055,-9.07E-05,,,,
700,0.933497187,-9.05E-05,,,,
701.25,0.933409502,-7.01E-05,,,,
702,0.933350786,-7.83E-05,,,,
702.75,0.933281909,-9.18E-05,,,,
703.75,0.933224384,-5.75E-05,,,,
704.25,0.933200022,-4.87E-05,,,,
705,0.933130462,-9.27E-05,,,,
706,0.933093538,-3.69E-05,,,,
706.75,0.933095486,2.60E-06,,,,
707.5,0.933081513,-1.86E-05,,,,
708.5,0.933048568,-3.29E-05,,,,
709.25,0.933065934,2.32E-05,,,,
710,0.93306535,-7.79E-07,,,,
711,0.933068424,3.07E-06,,,,
711.75,0.933071901,4.64E-06,,,,
712.25,0.933060061,-2.37E-05,,,,
713.5,0.933074372,1.14E-05,,,,
714,0.933063343,-2.21E-05,,,,
715.75,0.933033338,-1.71E-05,,,,
716.5,0.933024002,-1.24E-05,,,,
717.25,0.933000161,-3.18E-05,,,,
718.25,0.93296069,-3.95E-05,,,,
719,0.932923687,-4.93E-05,,,,
719.75,0.932885604,-5.08E-05,,,,
720.75,0.932839847,-4.58E-05,,,,
721.25,0.932823374,-3.29E-05,,,,
722.25,0.932751107,-7.23E-05,,,,
723.25,0.932711287,-3.98E-05,,,,
723.75,0.932654534,-1.14E-04,,,,
724.5,0.932594395,-8.02E-05,,,,
725.5,0.932514553,-7.98E-05,,,,
727.25,0.932380445,-7.66E-05,,,,
728,0.932348954,-4.20E-05,,,,
728.75,0.932274411,-9.94E-05,,,,
729.75,0.93221728,-5.71E-05,,,,
730.25,0.932177488,-7.96E-05,,,,
731,0.932100424,-0.000102752,,,,
732,0.932031215,-6.92E-05,,,,
732.75,0.931965639,-8.74E-05,,,,
733.5,0.931866539,-1.32E-04,,,,
734.5,0.931783074,-8.35E-05,,,,
735.25,0.931720601,-8.33E-05,,,,
735.75,0.931686579,-6.80E-05,,,,
736.75,0.931593635,-9.29E-05,,,,
737.75,0.931509905,-8.37E-05,,,,
738.25,0.93146678,-8.62E-05,,,,
739.25,0.931359979,-1.07E-04,,,,
739.75,0.931308251,-1.03E-04,,,,
740.5,0.931222856,-1.14E-04,,,,
741.5,0.931105549,-1.17E-04,,,,
742.25,0.931016416,-1.19E-04,,,,
743,0.930927455,-1.19E-04,,,,
744,0.930812347,-1.15E-04,,,,
744.75,0.930724962,-1.17E-04,,,,
745.25,0.930669575,-1.11E-04,,,,
746.25,0.930562784,-1.07E-04,,,,
747,0.930486367,-1.02E-04,,,,
747.75,0.930412887,-9.80E-05,,,,
748.75,0.930301721,-1.11E-04,,,,
749.5,0.930237815,-8.52E-05,,,,
750.25,0.930173466,-8.58E-05,,,,
751.5,0.930021657,-1.21E-04,,,,
753,0.929787737,-1.56E-04,,,,
753.75,0.929689507,-1.31E-04,,,,
754.25,0.929621364,-1.36E-04,,,,
755.5,0.92944277,-1.43E-04,,,,
756,0.929368514,-1.49E-04,,,,
756.75,0.929268693,-1.33E-04,,,,
757.75,0.929116443,-1.52E-04,,,,
758.5,0.929003974,-1.50E-04,,,,
759.25,0.928894555,-1.46E-04,,,,
760.25,0.928772604,-1.22E-04,,,,
760.75,0.928708556,-1.28E-04,,,,
761.5,0.928566251,-1.90E-04,,,,
762.75,0.928458588,-8.61E-05,,,,
763.5,0.928402815,-7.44E-05,,,,
764,0.928357764,-9.01E-05,,,,
765,0.928336693,-2.11E-05,,,,
765.5,0.92832682,-1.97E-05,,,,
766.25,0.928309824,-2.27E-05,,,,
767.25,0.928351214,4.14E-05,,,,
768,0.928362214,1.47E-05,,,,
768.75,0.928378694,2.20E-05,,,,
769.75,0.928406244,2.75E-05,,,,
770.5,0.928428808,3.01E-05,,,,
771.25,0.928450888,2.94E-05,,,,
772,0.928473327,2.99E-05,,,,
773,0.928503738,3.04E-05,,,,
773.5,0.928513883,2.03E-05,,,,
774.25,0.928536422,3.01E-05,,,,
775.25,0.928553673,1.73E-05,,,,
776,0.928561475,1.04E-05,,,,
776.75,0.928579065,2.35E-05,,,,
777.5,0.92858812,1.21E-05,,,,
778.5,0.92859599,7.87E-06,,,,
779,0.928602366,1.28E-05,,,,
779.75,0.92860347,1.47E-06,,,,
780.75,0.928604038,5.68E-07,,,,
781.5,0.928607709,4.89E-06,,,,
782,0.928608935,2.45E-06,,,,
783.25,0.928624344,1.23E-05,,,,
784,0.928634834,1.40E-05,,,,
784.5,0.928635737,1.81E-06,,,,
785.75,0.928645651,7.93E-06,,,,
786.5,0.928664475,2.51E-05,,,,
787.5,0.928661426,-3.05E-06,,,,
788.25,0.928672915,1.53E-05,,,,
789,0.928691419,2.47E-05,,,,
790.25,0.928706377,1.20E-05,,,,
790.75,0.928715538,1.83E-05,,,,
791.75,0.928729268,1.37E-05,,,,
792.75,0.928741834,1.26E-05,,,,
793.5,0.928772806,4.13E-05,,,,
794.25,0.928780079,9.70E-06,,,,
795.5,0.928788622,6.83E-06,,,,
796,0.9287797,-1.78E-05,,,,
796.75,0.928756974,-3.03E-05,,,,
797.75,0.928707941,-4.90E-05,,,,
798.5,0.928656885,-6.81E-05,,,,
799.25,0.928593736,-8.42E-05,,,,
800.25,0.9284902,-1.04E-04,,,,
800.75,0.928429726,-0.000120947,,,,
802.5,0.928107647,-0.000184045,,,,
803.5,0.928021134,-8.65E-05,,,,
804.25,0.927872296,-0.00019845,,,,
805,0.927712006,-0.00021372,,,,
805.75,0.927540487,-0.000228692,,,,
806.75,0.927255075,-0.000285411,,,,
807.25,0.927164132,-0.000181886,,,,
808,0.926960244,-0.00027185,,,,
809.25,0.926599413,-0.000288665,,,,
809.75,0.926448514,-0.000301799,,,,
810.5,0.926147935,-0.000400772,,,,
811.5,0.925864435,-0.0002835,,,,
812.25,0.925619371,-0.000326752,,,,
812.75,0.925427878,-0.000382986,,,,
813.75,0.925093339,-0.000334539,,,,
814.5,0.924869837,-0.000298003,,,,
815.5,0.924495835,-0.000374002,,,,
816.25,0.924252956,-0.000323838,,,,
816.75,0.924083646,-0.00033862,,,,
817.75,0.923748324,-0.000335322,,,,
818.5,0.923486252,-3.49E-04,,,,
819.25,0.923238675,-3.30E-04,,,,
820.25,0.922940335,-2.98E-04,,,,
820.5,0.922860427,-3.20E-04,,,,
821.5,0.922590635,-2.70E-04,,,,
822.25,0.922429376,-2.15E-04,,,,
823.25,0.92214446,-2.85E-04,,,,
823.75,0.922021959,-2.45E-04,,,,
824.75,0.921779476,-2.42E-04,,,,
825.5,0.92159817,-2.42E-04,,,,
826,0.921476878,-2.43E-04,,,,
827,0.921231736,-2.45E-04,,,,
827.75,0.921020251,-2.82E-04,,,,
828.75,0.920762042,-2.58E-04,,,,
829.5,0.920533406,-3.05E-04,,,,
830.25,0.920331269,-2.70E-04,,,,
831,0.920127963,-2.71E-04,,,,
831.75,0.919924583,-2.71E-04,,,,
832.5,0.919722232,-2.70E-04,,,,
833.5,0.919423034,-2.99E-04,,,,
834,0.919259916,-3.26E-04,,,,
835.75,0.918822578,-2.50E-04,,,,
836.5,0.91864685,-2.34E-04,,,,
837,0.918507625,-2.78E-04,,,,
837.5,0.918427056,-1.61E-04,,,,
838.75,0.918159168,-0.00021431,,,,
839.5,0.91805548,-1.38E-04,,,,
840,0.917942502,-0.000225957,,,,
841,0.917833249,-1.09E-04,,,,
841.75,0.917753638,-1.06E-04,,,,
842.25,0.917698415,-1.10E-04,,,,
844,0.91757784,-6.89E-05,,,,
844.75,0.917540369,-5.00E-05,,,,
845.5,0.917510358,-4.00E-05,,,,
846.25,0.917489863,-2.73E-05,,,,
847.25,0.917473916,-1.59E-05,,,,
848.5,0.917452299,-1.73E-05,,,,
849.25,0.917479045,3.57E-05,,,,
849.5,0.917492668,5.45E-05,,,,
851.25,0.917572878,4.58E-05,,,,
852.75,0.917685215,7.49E-05,,,,
855.5,0.917777692,3.36E-05,,,,
856.25,0.917801707,3.20E-05,,,,
857.25,0.917846671,4.50E-05,,,,
858,0.917871286,3.28E-05,,,,
859,0.917917896,4.66E-05,,,,
859.5,0.917912387,-1.10E-05,,,,
860,0.917948818,7.29E-05,,,,
861,0.91794957,7.52E-07,,,,
861.5,0.917962818,2.65E-05,,,,
862.25,0.917985165,2.98E-05,,,,
863,0.918012353,3.63E-05,,,,
863.75,0.917981741,-4.08E-05,,,,
864.5,0.91802632,5.94E-05,,,,
865.25,0.918082671,7.51E-05,,,,
866,0.918152138,9.26E-05,,,,
866.75,0.91823556,0.000111229,,,,
867.25,0.918271955,7.28E-05,,,,
868,0.918405663,0.000178276,,,,
869,0.918570712,0.000165049,,,,
869.5,0.918639976,0.000138528,,,,
870,0.918763106,0.00024626,,,,
871,0.918944093,0.000180988,,,,
871.75,0.919130817,0.000248964,,,,
872.25,0.919263112,0.00026459,,,,
873.25,0.919545206,0.000282094,,,,
873.75,0.919694598,0.000298785,,,,
874.5,0.9199639,0.000359069,,,,
875,0.9201476,0.000367401,,,,
875.75,0.920427892,0.000373722,,,,
876.5,0.920712433,0.000379388,,,,
877.25,0.921000187,0.000383672,,,,
877.75,0.921193545,0.000386717,,,,
878.75,0.921583706,0.000390161,,,,
879.25,0.921780508,0.000393606,,,,
879.75,0.921978436,0.000395855,,,,
880.25,0.922177408,0.000397944,,,,
879.75,0.921978436,0.000397944,,,,
879.25,0.921780508,0.000395855,,,,
879.75,0.921978436,0.000395855,,,,
880.5,0.922277248,0.000398416,,,,
881,0.922477555,0.000400614,,,,
882.75,0.923184083,0.00040373,,,,
883.5,0.923488966,0.000406511,,,,
884,0.923692755,0.000407577,,,,
885.25,0.924203562,0.000408646,,,,
885.75,0.924408237,0.000409349,,,,
886.5,0.924715477,0.000409653,,,,
887.5,0.925125441,0.000409965,,,,
888,0.925330535,0.000410188,,,,
888.75,0.925638337,0.000410403,,,,
889.5,0.925946416,0.000410771,,,,
890,0.926152014,0.000411197,,,,
890.75,0.926460785,0.000411694,,,,
891.5,0.926770041,0.000412341,,,,
892,0.926976512,0.000412942,,,,
892.75,0.927286694,0.000413577,,,,
893.25,0.927493821,0.000414254,,,,
894,0.927805044,0.000414963,,,,
895,0.928221004,0.000415961,,,,
895.5,0.928429403,0.000416797,,,,
897,0.92905614,0.000417825,,,,
897.25,0.929160802,0.000418645,,,,
898,0.929475107,0.000419074,,,,
898.5,0.929684916,0.000419618,,,,
899.25,0.930000071,0.000420206,,,,
899.75,0.930210469,0.000420798,,,,
900.75,0.93063196,0.00042149,,,,
